item_id,count,play,fracPlayed,count_bin,play_bin,fracPlayed_bin
205790,7423,528,0.07113027078000808,7423.0,6876.0,0.1
730,6969,6876,0.9866551872578562,7423.0,6876.0,1.0
4000,6811,6620,0.971957128175011,7423.0,6876.0,1.0
304930,6214,5555,0.8939491470872224,7423.0,6876.0,0.9
550,5895,5520,0.9363867684478372,7423.0,6876.0,1.0
223530,5846,225,0.03848785494355115,7423.0,6876.0,0.1
105600,4696,4584,0.9761499148211243,7423.0,6876.0,1.0
230410,4163,3361,0.8073504684122027,7423.0,6876.0,0.9
620,3865,3594,0.9298835705045279,7423.0,6876.0,1.0
240,3831,3393,0.8856695379796398,7423.0,6876.0,0.9
218620,3767,3541,0.9400053092646669,7423.0,6876.0,1.0
72850,3598,3483,0.9680377987770984,7423.0,6876.0,1.0
301520,3453,2688,0.7784535186794093,7423.0,6876.0,0.9
49520,3412,3265,0.9569167643610785,7423.0,6876.0,1.0
218230,3305,2716,0.82178517397882,7423.0,6876.0,0.9
227940,3142,2451,0.7800763844684914,7423.0,6876.0,0.9
340,3140,1058,0.33694267515923565,7423.0,6876.0,0.4
400,2989,2458,0.8223486115757779,7423.0,6876.0,0.9
236390,2945,2227,0.7561969439728353,7423.0,6876.0,0.9
220,2929,2378,0.8118811881188119,7423.0,6876.0,0.9
333930,2787,2117,0.7595981341944743,7423.0,6876.0,0.9
208090,2629,2236,0.8505135032331685,7423.0,6876.0,0.9
252490,2598,2518,0.9692070823710547,7423.0,6876.0,1.0
219640,2595,2416,0.9310211946050096,7423.0,6876.0,1.0
224260,2594,1998,0.7702390131071704,7423.0,6876.0,0.9
8190,2593,2228,0.8592364057076745,7423.0,6876.0,0.9
320,2573,846,0.32879906723668867,7423.0,6876.0,0.4
322330,2551,1788,0.7009016072128577,7423.0,6876.0,0.9
232210,2535,208,0.08205128205128205,7423.0,6876.0,0.1
8930,2497,2344,0.9387264717661193,7423.0,6876.0,1.0
24240,2454,2048,0.8345558272208639,7423.0,6876.0,0.9
219540,2434,613,0.25184880854560393,7423.0,6876.0,0.4
33910,2359,2021,0.8567189487070793,7423.0,6876.0,0.9
33930,2344,2144,0.9146757679180887,7423.0,6876.0,1.0
55230,2322,2004,0.8630490956072352,7423.0,6876.0,0.9
243870,2276,1644,0.7223198594024605,7423.0,6876.0,0.9
1250,2270,2121,0.9343612334801762,7423.0,6876.0,1.0
304050,2253,1881,0.8348868175765646,7423.0,6876.0,0.9
35420,2215,454,0.20496613995485327,7423.0,6876.0,0.4
222900,2177,1166,0.5355994487827285,7423.0,6876.0,0.6
380,2152,1118,0.5195167286245354,7423.0,6876.0,0.6
420,2119,988,0.4662576687116564,7423.0,6876.0,0.5
22380,2119,1881,0.8876828692779613,7423.0,6876.0,0.9
360,2108,211,0.10009487666034156,7423.0,6876.0,0.2
238960,2079,1528,0.7349687349687349,7423.0,6876.0,0.9
219740,2044,1836,0.898238747553816,7423.0,6876.0,0.9
8870,1991,1561,0.784028126569563,7423.0,6876.0,0.9
200210,1912,1702,0.8901673640167364,7423.0,6876.0,0.9
42910,1904,1656,0.8697478991596639,7423.0,6876.0,0.9
252950,1890,1830,0.9682539682539683,7423.0,6876.0,1.0
