user_id,count,play,fracPlayed,count_bin,play_bin,fracPlayed_bin
u5838,5588,2170,0.3883321403006442,5588.0,2207.0,0.4
u12139,4688,2207,0.4707764505119454,5588.0,2207.0,0.5
u1757,3660,1704,0.46557377049180326,5588.0,2207.0,0.5
u6033,2469,925,0.37464560550830295,5588.0,2207.0,0.4
u6745,2310,193,0.08354978354978355,5588.0,2207.0,0.1
u2715,1942,749,0.38568486096807414,5588.0,2207.0,0.4
u12345,1859,948,0.5099515868746638,5588.0,2207.0,0.6
u4045,1794,945,0.5267558528428093,5588.0,2207.0,0.6
u4652,1640,762,0.46463414634146344,5588.0,2207.0,0.5
u9398,1578,54,0.034220532319391636,5588.0,81.0,0.1
u12201,1435,105,0.07317073170731707,5588.0,2207.0,0.1
u335,1424,999,0.7015449438202247,5588.0,2207.0,0.9
u7652,1390,317,0.22805755395683452,5588.0,2207.0,0.4
u5925,1329,443,0.3333333333333333,5588.0,2207.0,0.4
u10903,1246,519,0.41653290529695025,5588.0,2207.0,0.5
u7023,1159,535,0.4616048317515099,5588.0,2207.0,0.5
u11535,1126,196,0.17406749555950266,5588.0,2207.0,0.2
u5688,1119,314,0.2806076854334227,5588.0,2207.0,0.4
u4836,1115,233,0.20896860986547086,5588.0,2207.0,0.4
u8896,1103,129,0.11695376246600181,5588.0,2207.0,0.2
u2774,1057,575,0.5439924314096499,5588.0,2207.0,0.6
u14525,1012,42,0.041501976284584984,5588.0,81.0,0.1
u12011,979,338,0.3452502553626149,5588.0,2207.0,0.4
u801,979,730,0.745658835546476,5588.0,2207.0,0.9
u14291,968,210,0.21694214876033058,5588.0,2207.0,0.4
u3287,947,544,0.5744456177402323,5588.0,2207.0,0.6
u5097,926,617,0.6663066954643628,5588.0,2207.0,0.7
u6087,863,576,0.6674391657010429,5588.0,2207.0,0.7
u1990,842,353,0.4192399049881235,5588.0,2207.0,0.5
u2394,833,112,0.13445378151260504,5588.0,2207.0,0.2
u1545,824,391,0.47451456310679613,5588.0,2207.0,0.5
u7155,824,110,0.13349514563106796,5588.0,2207.0,0.2
u1630,789,92,0.11660329531051965,5588.0,2207.0,0.2
u4408,775,220,0.2838709677419355,5588.0,2207.0,0.4
u4951,754,229,0.3037135278514589,5588.0,2207.0,0.4
u2869,743,259,0.34858681022880217,5588.0,2207.0,0.4
u7452,743,358,0.48183041722745623,5588.0,2207.0,0.5
u10088,734,391,0.5326975476839237,5588.0,2207.0,0.6
u10837,726,104,0.14325068870523416,5588.0,2207.0,0.2
u5194,724,398,0.5497237569060773,5588.0,2207.0,0.6
u11312,722,54,0.07479224376731301,5588.0,81.0,0.1
u4777,721,508,0.7045769764216366,5588.0,2207.0,0.9
u5823,707,361,0.5106082036775106,5588.0,2207.0,0.6
u2674,678,323,0.47640117994100295,5588.0,2207.0,0.5
u5114,663,356,0.5369532428355958,5588.0,2207.0,0.6
u1760,659,320,0.48558421851289835,5588.0,2207.0,0.5
u11648,658,151,0.22948328267477203,5588.0,2207.0,0.4
u1420,649,441,0.6795069337442219,5588.0,2207.0,0.7
u9185,636,360,0.5660377358490566,5588.0,2207.0,0.6
u3226,634,107,0.16876971608832808,5588.0,2207.0,0.2
u8246,633,178,0.2812006319115324,5588.0,2207.0,0.4
u11685,626,158,0.2523961661341853,5588.0,2207.0,0.4
u10184,625,111,0.1776,5588.0,2207.0,0.2
u8146,625,465,0.744,5588.0,2207.0,0.9
u7781,614,335,0.5456026058631922,5588.0,2207.0,0.6
u3241,601,234,0.389351081530782,5588.0,2207.0,0.4
u9207,595,46,0.0773109243697479,5588.0,81.0,0.1
u12575,589,231,0.3921901528013582,5588.0,2207.0,0.4
u7492,585,383,0.6547008547008547,5588.0,2207.0,0.7
u11896,578,304,0.5259515570934256,5588.0,2207.0,0.6
u5089,578,83,0.14359861591695502,5588.0,2207.0,0.2
u4446,575,350,0.6086956521739131,5588.0,2207.0,0.7
u11176,574,232,0.40418118466898956,5588.0,2207.0,0.5
u4334,573,253,0.44153577661431065,5588.0,2207.0,0.5
u7352,554,365,0.6588447653429603,5588.0,2207.0,0.7
u11529,552,114,0.20652173913043478,5588.0,2207.0,0.4
u14019,551,165,0.29945553539019965,5588.0,2207.0,0.4
u10401,545,133,0.24403669724770644,5588.0,2207.0,0.4
u4021,543,274,0.5046040515653776,5588.0,2207.0,0.6
u14187,543,349,0.6427255985267035,5588.0,2207.0,0.7
u7050,543,183,0.3370165745856354,5588.0,2207.0,0.4
u12104,538,293,0.5446096654275093,5588.0,2207.0,0.6
u8530,537,220,0.409683426443203,5588.0,2207.0,0.5
u2043,534,350,0.6554307116104869,5588.0,2207.0,0.7
u758,526,253,0.48098859315589354,5588.0,2207.0,0.5
u12438,523,194,0.37093690248565964,5588.0,2207.0,0.4
u4630,520,138,0.2653846153846154,5588.0,2207.0,0.4
u14429,515,232,0.45048543689320386,5588.0,2207.0,0.5
u6222,515,128,0.24854368932038834,5588.0,2207.0,0.4
u292,515,259,0.5029126213592233,5588.0,2207.0,0.6
u10296,515,399,0.7747572815533981,5588.0,2207.0,0.9
u11930,510,264,0.5176470588235295,5588.0,2207.0,0.6
u4258,510,200,0.39215686274509803,5588.0,2207.0,0.4
u3173,509,88,0.17288801571709234,5588.0,2207.0,0.2
u2675,509,234,0.45972495088408644,5588.0,2207.0,0.5
u8138,507,218,0.42998027613412226,5588.0,2207.0,0.5
u10822,499,306,0.6132264529058116,5588.0,2207.0,0.7
u9798,495,324,0.6545454545454545,5588.0,2207.0,0.7
u9284,494,359,0.7267206477732794,5588.0,2207.0,0.9
u13109,491,115,0.23421588594704684,5588.0,2207.0,0.4
u2225,490,169,0.3448979591836735,5588.0,2207.0,0.4
u4198,490,308,0.6285714285714286,5588.0,2207.0,0.7
u12298,489,157,0.3210633946830266,5588.0,2207.0,0.4
u8647,487,324,0.6652977412731006,5588.0,2207.0,0.7
u5784,486,368,0.757201646090535,5588.0,2207.0,0.9
u1145,485,107,0.22061855670103092,5588.0,2207.0,0.4
u9602,484,357,0.737603305785124,5588.0,2207.0,0.9
u29,481,149,0.3097713097713098,5588.0,2207.0,0.4
u3723,476,292,0.6134453781512605,5588.0,2207.0,0.7
u7202,474,303,0.6392405063291139,5588.0,2207.0,0.7
u1792,472,240,0.5084745762711864,5588.0,2207.0,0.6
u10214,471,347,0.7367303609341825,5588.0,2207.0,0.9
u7259,470,156,0.33191489361702126,5588.0,2207.0,0.4
u7553,463,188,0.4060475161987041,5588.0,2207.0,0.5
u3695,462,326,0.7056277056277056,5588.0,2207.0,0.9
u9287,461,253,0.5488069414316703,5588.0,2207.0,0.6
u6146,459,290,0.6318082788671024,5588.0,2207.0,0.7
